almacen,estante,columna,nivel,categoria_ubicacion
COL,AAA,039,100,MWA
COL,AAA,039,200,
COL,AAA,039,300,TTP
COL,AAA,039,400,TTP
COL,AAA,039,500,TTP
COL,AAA,039,600,DEO
COL,AAA,040,400,
COL,AAA,040,500,MWA
COL,AAA,040,600,
COL,AAA,041,100,TTP
COL,AAA,041,200,TTP
COL,AAA,041,300,MWA
COL,AAA,041,400,
COL,AAA,041,500,TTP
COL,AAA,041,600,
COL,AAA,042,400,TB
COL,AAA,042,500,BSO
COL,AAA,042,600,
COL,AAA,043,100,TTP
COL,AAA,043,200,
COL,AAA,043,300,
COL,AAA,043,400,
COL,AAA,043,500,TTP
COL,AAA,043,600,
COL,AAA,044,100,MWA
COL,AAA,044,200,TTP
COL,AAA,044,300,
COL,AAA,044,400,TTP
COL,AAA,044,500,
COL,AAA,044,600,
COL,AAA,045,100,
COL,AAA,045,200,MWA
COL,AAA,045,300,
COL,AAA,045,400,MWA
COL,AAA,045,500,TTP
COL,AAA,045,600,
COL,AAA,046,100,TTP
COL,AAA,046,200,MWA
COL,AAA,046,300,
COL,AAA,046,400,
COL,AAA,046,500,TB
COL,AAA,046,600,
COL,AAA,047,100,
COL,AAA,047,200,TTP
COL,AAA,047,300,MWA
COL,AAA,047,400,
COL,AAA,047,500,MWA
COL,AAA,047,600,
COL,AAA,048,100,TTP
COL,AAA,048,200,TTP
COL,AAA,048,300,TTP
COL,AAA,048,400,
COL,AAA,048,500,TB
COL,AAA,048,600,
COL,AAA,049,100,TTP
COL,AAA,049,200,DEO
COL,AAA,049,300,DEO
COL,AAA,049,400,DEO
COL,AAA,049,500,MWA
COL,AAA,049,600,001
COL,AAA,050,100,INT
COL,AAA,050,200,001
COL,AAA,050,300,
COL,AAA,050,400,TTP
COL,AAA,050,500,TTP
COL,AAA,050,600,
COL,AAA,051,100,DEO
COL,AAA,051,200,MWA
COL,AAA,051,300,TTP
COL,AAA,051,400,TTP
COL,AAA,051,500,TTP
COL,AAA,051,600,
COL,AAA,052,100,001
COL,AAA,052,200,TTP
COL,AAA,052,300,
COL,AAA,052,400,TTP
COL,AAA,052,500,TTP
COL,AAA,052,600,001
COL,AAA,053,100,TTP
COL,AAA,053,200,TTP
COL,AAA,053,300,DEO
COL,AAA,053,400,
COL,AAA,053,500,MWA
COL,AAA,053,600,
COL,AAA,054,100,
COL,AAA,054,200,
COL,AAA,054,300,
COL,AAA,054,400,DEO
COL,AAA,054,500,BSO
COL,AAA,054,600,001
COL,AAA,055,100,DEO
COL,AAA,055,200,MWA
COL,AAA,055,300,
COL,AAA,055,400,
COL,AAA,055,500,TTP
COL,AAA,055,600,001
COL,AAA,056,100,MWA
COL,AAA,056,200,
COL,AAA,056,300,
COL,AAA,056,400,
COL,AAA,056,500,TTP
COL,AAA,056,600,001
COL,AAA,057,100,MWA
COL,AAA,057,200,MWA
COL,AAA,057,300,
COL,AAA,057,400,TTP
COL,AAA,057,500,DEO
COL,AAA,057,600,
COL,AAA,058,100,MWA
COL,AAA,058,200,TTP
COL,AAA,058,300,TTP
COL,AAA,058,400,
COL,AAA,058,500,
COL,AAA,058,600,001
COL,AAA,059,100,TTP
COL,AAA,059,200,
COL,AAA,059,300,
COL,AAA,059,400,TB
COL,AAA,059,500,
COL,AAA,059,600,
COL,AAA,060,100,DEO
COL,AAA,060,200,TTP
COL,AAA,060,300,
COL,AAA,060,400,
COL,AAA,060,500,BWA
COL,AAA,060,600,001
COL,AAA,061,100,TTP
COL,AAA,061,200,TTP
COL,AAA,061,300,TB
COL,AAA,061,400,TTP
COL,AAA,061,500,
COL,AAA,061,600,001
COL,AAA,062,100,TB
COL,AAA,062,200,
COL,AAA,062,300,
COL,AAA,062,400,
COL,AAA,062,500,
COL,AAA,062,600,001
COL,AAA,063,100,
COL,AAA,063,200,TTP
COL,AAA,063,300,MWA
COL,AAA,063,400,TTP
COL,AAA,063,500,
COL,AAA,063,600,
COL,AAA,064,100,TB
COL,AAA,064,200,
COL,AAA,064,300,
COL,AAA,064,400,
COL,AAA,064,500,
COL,AAA,064,600,001
COL,AAA,066,100,BSO
COL,AAA,066,200,
COL,AAA,066,300,
COL,AAA,066,400,
COL,AAA,066,500,
COL,AAA,066,600,
COL,AAA,067,100,
COL,AAA,067,200,
COL,AAA,067,300,MWA
COL,AAA,067,400,
COL,AAA,067,500,
COL,AAA,067,600,001
COL,AAA,068,100,INT
COL,AAA,068,200,
COL,AAA,068,300,
COL,AAA,068,400,
COL,AAA,068,500,
COL,AAA,068,600,001
COL,AAA,069,100,TTP
COL,AAA,069,200,
COL,AAA,069,300,
COL,AAA,069,400,
COL,AAA,069,500,
COL,AAA,069,600,001
COL,AAA,070,100,TTP
COL,AAA,070,200,
COL,AAA,070,300,
COL,AAA,070,400,
COL,AAA,070,500,
COL,AAA,070,600,001
COL,AAA,071,100,BWA
COL,AAA,071,200,TTP
COL,AAA,071,300,
COL,AAA,071,400,INT
COL,AAA,071,500,
COL,AAA,071,600,001
COL,AAA,072,100,TTP
COL,AAA,072,200,
COL,AAA,072,300,
COL,AAA,072,400,
COL,AAA,072,500,
COL,AAA,072,600,001
COL,AAA,073,100,MWA
COL,AAA,073,200,
COL,AAA,073,300,
COL,AAA,073,400,TTP
COL,AAA,073,500,
COL,AAA,073,600,001
COL,AAA,074,100,MWA
COL,AAA,074,200,
COL,AAA,074,300,
COL,AAA,074,400,
COL,AAA,074,500,
COL,AAA,074,600,001
COL,AAA,075,100,TB
COL,AAA,075,200,
COL,AAA,075,300,
COL,AAA,075,400,BSO
COL,AAA,075,500,
COL,AAA,075,600,001
COL,AAA,076,100,
COL,AAA,076,200,
COL,AAA,076,300,
COL,AAA,076,400,
COL,AAA,076,500,
COL,AAA,076,600,
COL,AAA,077,100,TTP
COL,AAA,077,200,
COL,AAA,077,300,
COL,AAA,077,400,TTP
COL,AAA,077,500,TTP
COL,AAA,077,600,001
COL,AAA,078,100,
COL,AAA,078,200,TB
COL,AAA,078,300,
COL,AAA,078,400,
COL,AAA,078,500,
COL,AAA,078,600,001
COL,AAA,079,100,DEO
COL,AAA,079,200,TB
COL,AAA,079,300,TTP
COL,AAA,079,400,MWA
COL,AAA,079,500,MWA
COL,AAA,079,600,001
COL,AAA,080,100,INT
COL,AAA,080,200,
COL,AAA,080,300,
COL,AAA,080,400,TTP
COL,AAA,080,500,TTP
COL,AAA,080,600,001
COL,AAA,081,100,TTP
COL,AAA,081,200,TB
COL,AAA,081,300,TB
COL,AAA,081,400,TB
COL,AAA,081,500,TB
COL,AAA,081,600,001
COL,AAA,082,100,
COL,AAA,082,200,
COL,AAA,082,300,TB
COL,AAA,082,400,MWA
COL,AAA,082,500,
COL,AAA,082,600,001
COL,AAA,083,100,TTP
COL,AAA,083,200,TB
COL,AAA,083,300,GLW
COL,AAA,083,400,TB
COL,AAA,083,500,TB
COL,AAA,083,600,001
COL,AAA,084,100,
COL,AAA,084,200,
COL,AAA,084,300,
COL,AAA,084,400,
COL,AAA,084,500,
COL,AAA,084,600,001
COL,AAA,085,100,TTP
COL,AAA,085,200,MWA
COL,AAA,085,300,DEO
COL,AAA,085,400,TTP
COL,AAA,085,500,TTP
COL,AAA,085,600,001
COL,AAA,086,100,
COL,AAA,086,200,
COL,AAA,086,300,
COL,AAA,086,400,
COL,AAA,086,500,
COL,AAA,086,600,001
COL,BBB,001,100,TTP
COL,BBB,001,200,BSO
COL,BBB,001,300,DEO
COL,BBB,001,400,TTP
COL,BBB,001,500,TB
COL,BBB,001,600,DEO
COL,BBB,002,100,TTP
COL,BBB,002,200,TTP
COL,BBB,002,300,TTP
COL,BBB,002,400,MWA
COL,BBB,002,500,
COL,BBB,002,600,TTP
COL,BBB,003,100,TTP
COL,BBB,003,200,TTP
COL,BBB,003,300,TTP
COL,BBB,003,400,TTP
COL,BBB,003,500,TTP
COL,BBB,003,600,TB
COL,BBB,004,100,TTP
COL,BBB,004,200,TTP
COL,BBB,004,300,TTP
COL,BBB,004,400,TTP
COL,BBB,004,500,TTP
COL,BBB,004,600,TTP
COL,BBB,005,100,TTP
COL,BBB,005,200,TTP
COL,BBB,005,300,TTP
COL,BBB,005,400,TTP
COL,BBB,005,500,TTP
COL,BBB,005,600,001
COL,BBB,006,100,TTP
COL,BBB,006,200,
COL,BBB,006,300,TTP
COL,BBB,006,400,TTP
COL,BBB,006,500,TTP
COL,BBB,006,600,TTP
COL,BBB,007,100,001
COL,BBB,007,200,TB
COL,BBB,007,300,DEO
COL,BBB,007,400,TTP
COL,BBB,007,500,TTP
COL,BBB,007,600,TTP
COL,BBB,008,100,TTP
COL,BBB,008,200,TTP
COL,BBB,008,300,DEO
COL,BBB,008,400,DEO
COL,BBB,008,500,TTP
COL,BBB,008,600,DEO
COL,BBB,009,100,TTP
COL,BBB,009,200,001
COL,BBB,009,300,DEO
COL,BBB,009,400,DEO
COL,BBB,009,500,TTP
COL,BBB,009,600,TTP
COL,BBB,010,100,DEO
COL,BBB,010,200,TTP
COL,BBB,010,300,TTP
COL,BBB,010,400,TB
COL,BBB,010,500,TTP
COL,BBB,010,600,TTP
COL,BBB,011,100,TTP
COL,BBB,011,200,
COL,BBB,011,300,TTP
COL,BBB,011,400,TTP
COL,BBB,011,500,TTP
COL,BBB,011,600,DEO
COL,BBB,012,100,TTP
COL,BBB,012,200,MWA
COL,BBB,012,300,TTP
COL,BBB,012,400,TTP
COL,BBB,012,500,TTP
COL,BBB,012,600,DEO
COL,BBB,013,100,TTP
COL,BBB,013,200,TTP
COL,BBB,013,300,DEO
COL,BBB,013,400,DEO
COL,BBB,013,500,TTP
COL,BBB,013,600,DEO
COL,BBB,014,100,DEO
COL,BBB,014,200,TTP
COL,BBB,014,300,TTP
COL,BBB,014,400,TB
COL,BBB,014,500,TTP
COL,BBB,014,600,TTP
COL,BBB,015,100,TTP
COL,BBB,015,200,TTP
COL,BBB,015,300,001
COL,BBB,015,400,
COL,BBB,015,500,TTP
COL,BBB,015,600,TTP
COL,BBB,016,100,TTP
COL,BBB,016,200,TB
COL,BBB,016,300,TTP
COL,BBB,016,400,TTP
COL,BBB,016,500,TTP
COL,BBB,016,600,TB
COL,BBB,017,100,
COL,BBB,017,200,TTP
COL,BBB,017,300,001
COL,BBB,017,400,TTP
COL,BBB,017,500,TB
COL,BBB,018,100,TTP
COL,BBB,018,200,DEO
COL,BBB,018,300,DEO
COL,BBB,018,400,TTP
COL,BBB,018,500,TB
COL,BBB,019,100,TTP
COL,BBB,019,200,001
COL,BBB,019,300,TB
COL,BBB,019,400,TB
COL,BBB,019,500,TB
COL,BBB,020,100,TTP
COL,BBB,020,200,TTP
COL,BBB,020,300,MWA
COL,BBB,020,400,TTP
COL,BBB,020,500,TB
COL,BBB,021,100,TTP
COL,BBB,021,200,TTP
COL,BBB,021,300,DEO
COL,BBB,021,400,BSO
COL,BBB,021,500,TTP
COL,BBB,022,100,TTP
COL,BBB,022,200,TTP
COL,BBB,022,300,TB
COL,BBB,022,400,TTP
COL,BBB,022,500,TTP
COL,BBB,023,100,TTP
COL,BBB,023,200,TTP
COL,BBB,023,300,DEO
COL,BBB,023,400,TTP
COL,BBB,023,500,TTP
COL,BBB,024,100,TTP
COL,BBB,024,200,TTP
COL,BBB,024,300,TB
COL,BBB,024,400,
COL,BBB,024,500,TB
COL,BBB,025,100,TTP
COL,BBB,025,200,TTP
COL,BBB,025,300,BSO
COL,BBB,025,400,BSO
COL,BBB,025,500,TTP
COL,BBB,026,100,TTP
COL,BBB,026,200,BSO
COL,BBB,026,300,TTP
COL,BBB,026,400,TTP
COL,BBB,026,500,TB
COL,BBB,027,100,TTP
COL,BBB,027,200,TTP
COL,BBB,027,300,MWA
COL,BBB,027,400,DEO
COL,BBB,027,500,TB
COL,BBB,028,100,TTP
COL,BBB,028,200,MWA
COL,BBB,028,300,DEO
COL,BBB,028,400,TTP
COL,BBB,028,500,TB
COL,BBB,029,100,TTP
COL,BBB,029,200,TB
COL,BBB,029,300,DEO
COL,BBB,029,400,MWA
COL,BBB,029,500,DEO
COL,BBB,030,100,TB
COL,BBB,030,200,TTP
COL,BBB,030,300,TB
COL,BBB,030,400,TTP
COL,BBB,030,500,
COL,BBB,031,100,TTP
COL,BBB,031,200,TTP
COL,BBB,031,300,TB
COL,BBB,031,400,TTP
COL,BBB,031,500,001
COL,BBB,032,100,TTP
COL,BBB,032,200,DEO
COL,BBB,032,300,TTP
COL,BBB,032,400,BWA
COL,BBB,032,500,TB
COL,BBB,033,100,TTP
COL,BBB,033,200,MWA
COL,BBB,033,300,TTP
COL,BBB,033,400,TTP
COL,BBB,033,500,TTP
COL,BBB,034,100,TB
COL,BBB,034,200,DEO
COL,BBB,034,300,TTP
COL,BBB,034,400,TB
COL,BBB,034,500,TB
COL,BBB,035,100,TTP
COL,BBB,035,200,TTP
COL,BBB,035,300,TTP
COL,BBB,035,400,TB
COL,BBB,035,500,TTP
COL,BBB,036,100,TTP
COL,BBB,036,200,TTP
COL,BBB,036,300,DEO
COL,BBB,036,400,TB
COL,BBB,036,500,TB
COL,BBB,037,400,TTP
COL,BBB,037,500,TTP
COL,BBB,037,600,TB
COL,BBB,038,400,TTP
COL,BBB,038,500,TTP
COL,BBB,038,600,TTP
COL,BBB,039,400,TTP
COL,BBB,039,500,TTP
COL,BBB,039,600,BSO
COL,BBB,040,400,001
COL,BBB,040,500,TTP
COL,BBB,040,600,TTP
COL,BBB,041,400,TTP
COL,BBB,041,500,TTP
COL,BBB,041,600,TTP
COL,BBB,042,400,TTP
COL,BBB,042,500,TTP
COL,BBB,042,600,DEO
COL,BBB,043,100,TTP
COL,BBB,043,200,TTP
COL,BBB,043,300,TTP
COL,BBB,043,400,TTP
COL,BBB,043,500,TTP
COL,BBB,043,600,TTP
COL,BBB,044,100,TTP
COL,BBB,044,200,TTP
COL,BBB,044,300,TTP
COL,BBB,044,400,001
COL,BBB,044,500,TTP
COL,BBB,044,600,TTP
COL,BBB,045,100,TTP
COL,BBB,045,200,TTP
COL,BBB,045,300,TTP
COL,BBB,045,400,TTP
COL,BBB,045,500,TB
COL,BBB,045,600,TB
COL,BBB,046,100,BSO
COL,BBB,046,200,BSO
COL,BBB,046,300,001
COL,BBB,046,400,TB
COL,BBB,046,500,TTP
COL,BBB,046,600,001
COL,BBB,047,100,BSO
COL,BBB,047,200,001
COL,BBB,047,300,TTP
COL,BBB,047,400,TB
COL,BBB,047,500,TTP
COL,BBB,047,600,001
COL,BBB,048,100,TB
COL,BBB,048,200,TTP
COL,BBB,048,300,001
COL,BBB,048,400,TTP
COL,BBB,048,500,TTP
COL,BBB,048,600,TTP
COL,BBB,049,100,TTP
COL,BBB,049,200,001
COL,BBB,049,300,001
COL,BBB,049,400,
COL,BBB,049,500,TTP
COL,BBB,049,600,001
COL,BBB,050,100,TTP
COL,BBB,050,200,TTP
COL,BBB,050,300,TTP
COL,BBB,050,400,DEO
COL,BBB,050,500,TTP
COL,BBB,050,600,DEO
COL,BBB,051,100,TTP
COL,BBB,051,200,MWA
COL,BBB,051,300,TB
COL,BBB,051,400,TTP
COL,BBB,051,500,TTP
COL,BBB,051,600,TTP
COL,BBB,052,100,DEO
COL,BBB,052,200,TB
COL,BBB,052,300,TTP
COL,BBB,052,400,TTP
COL,BBB,052,500,TTP
COL,BBB,052,600,TB
COL,BBB,053,100,TTP
COL,BBB,053,200,BSO
COL,BBB,053,300,DEO
COL,BBB,053,400,TTP
COL,BBB,053,500,TTP
COL,BBB,053,600,TTP
COL,BBB,054,100,DEO
COL,BBB,054,200,TB
COL,BBB,054,300,TTP
COL,BBB,054,400,TTP
COL,BBB,054,500,
COL,BBB,054,600,TTP
COL,BBB,055,100,BSO
COL,BBB,055,200,DEO
COL,BBB,055,300,TTP
COL,BBB,055,400,TTP
COL,BBB,055,500,MWA
COL,BBB,055,600,001
COL,BBB,056,100,DEO
COL,BBB,056,200,
COL,BBB,056,300,TTP
COL,BBB,056,400,MWA
COL,BBB,056,500,TTP
COL,BBB,056,600,TTP
COL,BBB,057,100,BSO
COL,BBB,057,200,DEO
COL,BBB,057,300,DEO
COL,BBB,057,400,TB
COL,BBB,057,500,TTP
COL,BBB,057,600,DEO
COL,BBB,058,100,TB
COL,BBB,058,200,BSO
COL,BBB,058,300,TTP
COL,BBB,058,400,TTP
COL,BBB,058,500,TTP
COL,BBB,058,600,
COL,BBB,059,100,TTP
COL,BBB,059,200,DEO
COL,BBB,059,300,TTP
COL,BBB,059,400,TTP
COL,BBB,059,500,TTP
COL,BBB,059,600,TTP
COL,BBB,060,100,TTP
COL,BBB,060,200,DEO
COL,BBB,060,300,TTP
COL,BBB,060,400,TTP
COL,BBB,060,500,TTP
COL,BBB,060,600,TTP
COL,BBB,061,100,TTP
COL,BBB,061,200,001
COL,BBB,061,300,TTP
COL,BBB,061,400,DEO
COL,BBB,061,500,TTP
COL,BBB,061,600,TTP
COL,BBB,062,100,TTP
COL,BBB,062,200,TTP
COL,BBB,062,300,TB
COL,BBB,062,400,TTP
COL,BBB,062,500,TTP
COL,BBB,062,600,
COL,BBB,063,100,001
COL,BBB,063,200,BSO
COL,BBB,063,300,TTP
COL,BBB,063,400,BSO
COL,BBB,063,500,BSO
COL,BBB,063,600,TTP
COL,BBB,064,100,TTP
COL,BBB,064,200,TTP
COL,BBB,064,300,001
COL,BBB,064,400,TTP
COL,BBB,064,500,TTP
COL,BBB,064,600,TTP
COL,BBB,065,100,TTP
COL,BBB,065,200,TTP
COL,BBB,065,300,BSO
COL,BBB,065,400,TTP
COL,BBB,065,500,TTP
COL,BBB,065,600,TTP
COL,BBB,066,100,TTP
COL,BBB,066,200,DEO
COL,BBB,066,300,TTP
COL,BBB,066,400,MWA
COL,BBB,066,500,TTP
COL,BBB,066,600,TTP
COL,BBB,067,100,DEO
COL,BBB,067,200,DEO
COL,BBB,067,300,TTP
COL,BBB,067,400,BWA
COL,BBB,067,500,TTP
COL,BBB,067,600,TTP
COL,BBB,068,100,MWA
COL,BBB,068,200,DEO
COL,BBB,068,300,DEO
COL,BBB,068,400,TTP
COL,BBB,068,500,TTP
COL,BBB,068,600,001
COL,BBB,069,100,
COL,BBB,069,200,DEO
COL,BBB,069,300,BWA
COL,BBB,069,400,TTP
COL,BBB,069,500,DEO
COL,BBB,069,600,TTP
COL,BBB,070,100,DEO
COL,BBB,070,200,TTP
COL,BBB,070,300,TTP
COL,BBB,070,400,TTP
COL,BBB,070,500,TTP
COL,BBB,070,600,TTP
COL,BBB,071,100,TTP
COL,BBB,071,200,DEO
COL,BBB,071,300,TTP
COL,BBB,071,400,TTP
COL,BBB,071,500,TTP
COL,BBB,071,600,BWA
COL,BBB,072,100,BSO
COL,BBB,072,200,TTP
COL,BBB,072,300,TTP
COL,BBB,072,400,MWA
COL,BBB,072,500,TTP
COL,BBB,072,600,001
COL,BBB,073,100,BWA
COL,BBB,073,200,TTP
COL,BBB,073,300,TTP
COL,BBB,073,400,TTP
COL,BBB,073,500,TTP
COL,BBB,073,600,TTP
COL,BBB,074,100,BWA
COL,BBB,074,200,TTP
COL,BBB,074,300,TTP
COL,BBB,074,400,TTP
COL,BBB,074,500,TTP
COL,BBB,074,600,BSO
COL,BBB,075,100,TTP
COL,BBB,075,200,DEO
COL,BBB,075,300,TB
COL,BBB,075,400,TTP
COL,BBB,075,500,TTP
COL,BBB,075,600,001
COL,BBB,076,100,TTP
COL,BBB,076,200,TTP
COL,BBB,076,300,DEO
COL,BBB,076,400,TTP
COL,BBB,076,500,MWA
COL,BBB,076,600,TTP
COL,BBB,077,100,TTP
COL,BBB,077,200,TTP
COL,BBB,077,300,TTP
COL,BBB,077,400,TTP
COL,BBB,077,500,TTP
COL,BBB,077,600,TTP
COL,BBB,078,100,BSO
COL,BBB,078,200,TTP
COL,BBB,078,300,TTP
COL,BBB,078,400,TTP
COL,BBB,078,500,TTP
COL,BBB,078,600,
COL,BBB,079,100,BSO
COL,BBB,079,200,TTP
